run_id,epoch,avg_loss,dice,hd95,obj_precision,hd95_inf_batches,is_best,timestamp
20260422_170916,1,0.576574,0.744787,20.0494,0.734500,0,1,2026-04-22 17:11:09
20260422_170916,2,0.441222,0.807682,13.7471,0.882136,0,1,2026-04-22 17:12:59
20260422_170916,3,0.335163,0.778680,17.2731,0.896193,0,0,2026-04-22 17:14:52
20260422_170916,4,0.247739,0.829130,11.5623,0.908453,0,1,2026-04-22 17:18:14
20260422_170916,5,0.173454,0.837414,10.2511,0.918702,0,1,2026-04-22 17:20:03
20260422_170916,6,0.133437,0.822590,10.9386,0.926221,0,0,2026-04-22 17:21:50
20260422_170916,7,0.102574,0.850144,8.4279,0.934079,0,1,2026-04-22 17:23:38
20260422_170916,8,0.086983,0.862707,7.5902,0.961446,0,1,2026-04-22 17:25:25
20260422_170916,9,0.076934,0.862667,8.1176,0.932711,0,0,2026-04-22 17:27:13
20260422_170916,10,0.062074,0.861724,7.4337,0.945881,0,0,2026-04-22 17:29:00
20260422_170916,11,0.058213,0.816042,9.2717,0.961925,0,0,2026-04-22 17:30:49
20260422_170916,12,0.058834,0.867233,7.4936,0.940014,0,1,2026-04-22 17:32:38
20260422_170916,13,0.049209,0.861917,7.9980,0.941691,0,0,2026-04-22 17:34:27
20260422_170916,14,0.048439,0.855015,9.0102,0.943469,0,0,2026-04-22 17:36:15
20260422_170916,15,0.045180,0.865945,8.7607,0.929119,0,0,2026-04-22 17:38:04
20260422_170916,16,0.041525,0.839753,9.4159,0.946240,0,0,2026-04-22 17:39:53
20260422_170916,17,0.043526,0.872891,7.3347,0.957064,0,1,2026-04-22 17:41:42
20260422_170916,18,0.038665,0.868635,7.9997,0.933549,0,0,2026-04-22 17:43:29
20260422_170916,19,0.034704,0.859366,8.6629,0.951389,0,0,2026-04-22 17:45:17
20260422_170916,20,0.038990,0.861512,8.4417,0.945785,0,0,2026-04-22 17:47:05
20260422_170916,21,0.033202,0.870030,7.3414,0.955063,0,0,2026-04-22 17:48:53
20260518_110202,1,0.437310,0.809057,22.9471,0.691711,0,1,1.00e-04,2026-05-18 11:03:50
20260518_110202,2,0.283643,0.850128,16.1163,0.852029,0,1,1.00e-04,2026-05-18 11:05:35
20260518_110202,3,0.198855,0.682593,66.9505,0.138255,0,0,1.00e-04,2026-05-18 11:07:23
20260518_110202,4,0.149781,0.884501,8.4052,0.915022,0,1,1.00e-04,2026-05-18 11:12:36
20260518_110202,5,0.117412,0.879770,10.8908,0.884156,0,0,1.00e-04,2026-05-18 11:14:22
20260518_110202,6,0.094868,0.876991,9.7944,0.885941,0,0,1.00e-04,2026-05-18 11:16:07
20260518_110202,7,0.089250,0.896621,8.2556,0.874123,0,1,1.00e-04,2026-05-18 11:17:52
20260518_110202,8,0.071525,0.898013,7.7035,0.928015,0,1,1.00e-04,2026-05-18 11:19:39
20260518_110202,9,0.074714,0.893436,6.7320,0.962445,0,0,1.00e-04,2026-05-18 11:21:30
20260518_110202,10,0.059489,0.889728,8.7789,0.913925,0,0,1.00e-04,2026-05-18 11:23:19
20260518_110202,11,0.056341,0.906109,7.3647,0.928344,0,1,1.00e-04,2026-05-18 11:25:08
20260518_110202,12,0.054980,0.898512,8.1086,0.931743,0,0,1.00e-04,2026-05-18 11:26:57
20260518_110202,13,0.050288,0.899228,7.1726,0.929276,0,0,1.00e-04,2026-05-18 11:28:45
20260518_110202,14,0.052760,0.893825,7.8441,0.941173,0,0,1.00e-04,2026-05-18 11:30:33
20260518_110202,15,0.042779,0.898902,6.4898,0.960417,0,0,1.00e-04,2026-05-18 11:32:21
20260518_110202,16,0.039624,0.911236,5.8510,0.925822,0,1,1.00e-04,2026-05-18 11:34:08
20260518_110202,17,0.038224,0.900940,8.1414,0.915296,0,0,1.00e-04,2026-05-18 11:35:54
20260518_110202,18,0.048774,0.893372,6.7891,0.935534,0,0,1.00e-04,2026-05-18 11:37:42
20260518_110202,19,0.040462,0.909943,5.2435,0.953125,0,0,1.00e-04,2026-05-18 11:39:30
20260518_110202,20,0.035949,0.895734,7.0140,0.961623,0,0,1.00e-04,2026-05-18 11:41:19
20260518_110202,21,0.037313,0.898759,7.7173,0.936897,0,0,1.00e-04,2026-05-18 11:43:07
20260518_110202,22,0.036304,0.900614,6.9448,0.937664,0,0,1.00e-04,2026-05-18 11:44:56
20260518_110202,23,0.029122,0.908036,5.3258,0.959430,0,0,5.00e-05,2026-05-18 11:46:44
20260518_110202,24,0.027390,0.908499,5.5635,0.957237,0,0,5.00e-05,2026-05-18 11:48:33
20260518_110202,25,0.026714,0.912612,5.0392,0.956689,0,1,5.00e-05,2026-05-18 11:50:21
20260518_110202,26,0.025730,0.903858,5.5818,0.962719,0,0,5.00e-05,2026-05-18 11:52:10
20260518_110202,27,0.024685,0.908086,6.1175,0.942434,0,0,5.00e-05,2026-05-18 11:53:58
20260518_110202,28,0.023985,0.910648,5.4289,0.955866,0,0,5.00e-05,2026-05-18 11:55:46
20260518_110202,29,0.022708,0.907739,5.7450,0.943640,0,0,5.00e-05,2026-05-18 11:57:34
20260518_110202,30,0.023163,0.908510,5.6409,0.953399,0,0,5.00e-05,2026-05-18 11:59:23
